date,prcp,station
2017-02-04,0.0,USC00519397
2017-02-05,0.0,USC00519397
2017-02-06,0.0,USC00519397
2017-02-07,13.0,USC00519397
2017-02-08,0.0,USC00519397
2017-02-09,0.0,USC00519397
2017-02-10,0.0,USC00519397
2017-02-11,7.9,USC00519397
2017-02-12,66.5,USC00519397
2017-02-13,0.3,USC00519397
2017-02-14,0.0,USC00519397
2017-02-15,0.0,USC00519397
2017-02-16,1.8,USC00519397
2017-02-17,0.0,USC00519397
2017-02-18,0.0,USC00519397
2017-02-19,0.0,USC00519397
2017-02-20,0.0,USC00519397
2017-02-21,1.5,USC00519397
2017-02-22,1.5,USC00519397
2017-02-23,0.3,USC00519397
2017-02-24,0.0,USC00519397
2017-02-25,0.8,USC00519397
2017-02-26,0.0,USC00519397
2017-02-27,0.0,USC00519397
2017-02-28,0.0,USC00519397
2017-03-01,30.2,USC00519397
2017-03-02,18.5,USC00519397
2017-03-03,11.9,USC00519397
2017-03-04,0.0,USC00519397
2017-03-05,8.9,USC00519397
2017-03-06,0.0,USC00519397
2017-03-07,0.0,USC00519397
2017-03-08,0.0,USC00519397
2017-03-09,0.0,USC00519397
2017-03-10,0.0,USC00519397
2017-03-11,0.0,USC00519397
2017-03-12,0.0,USC00519397
2017-03-13,0.0,USC00519397
2017-03-14,0.0,USC00519397
2017-03-15,0.0,USC00519397
2017-03-16,0.0,USC00519397
2017-03-17,0.0,USC00519397
2017-03-18,0.0,USC00519397
2017-03-19,0.0,USC00519397
2017-03-20,0.0,USC00519397
2017-03-21,0.0,USC00519397
2017-03-22,0.0,USC00519397
2017-03-23,0.0,USC00519397
2017-03-24,0.5,USC00519397
2017-03-25,0.0,USC00519397
2017-03-26,0.0,USC00519397
2017-03-27,0.0,USC00519397
2017-03-28,0.0,USC00519397
2017-03-29,0.0,USC00519397
2017-03-30,0.0,USC00519397
2017-03-31,0.0,USC00519397
2017-04-01,0.0,USC00519397
2017-04-02,0.0,USC00519397
2017-04-03,0.0,USC00519397
2017-04-04,0.0,USC00519397
2017-04-05,0.0,USC00519397
2017-04-06,0.0,USC00519397
2017-04-07,0.0,USC00519397
2017-04-08,0.0,USC00519397
2017-04-09,0.0,USC00519397
2017-04-10,0.0,USC00519397
2017-04-11,0.0,USC00519397
2017-04-12,0.0,USC00519397
2017-04-13,0.0,USC00519397
2017-04-14,6.6,USC00519397
2017-04-15,0.3,USC00519397
2017-04-16,0.0,USC00519397
2017-04-17,0.5,USC00519397
2017-04-18,0.0,USC00519397
2017-04-19,0.5,USC00519397
2017-04-20,1.3,USC00519397
2017-04-21,5.8,USC00519397
2017-04-22,8.1,USC00519397
2017-04-23,0.8,USC00519397
2017-04-24,0.0,USC00519397
2017-04-25,0.0,USC00519397
2017-04-26,0.0,USC00519397
