date,prcp
2017-06-10,15.7
2017-06-11,18.8
2017-06-12,20.6
2017-06-13,16.5
2017-06-14,20.6
2017-06-15,42.9
2017-06-16,2.5
2017-06-17,8.9
2017-06-18,17.8
2017-06-19,10.2
2017-06-20,7.9
2017-06-21,7.6
2017-06-22,7.1
2017-06-23,12.7
2017-06-24,9.1
2017-06-25,12.7
2017-06-26,1.5
2017-06-27,2.5
2017-06-28,0.5
2017-06-29,1.0
2017-06-30,5.1
2017-07-01,2.5
2017-07-02,12.7
2017-07-03,10.2
2017-07-04,2.0
2017-07-05,0.0
2017-07-06,0.5
2017-07-07,7.6
2017-07-08,1.5
2017-07-09,2.8
2017-07-10,0.5
2017-07-11,0.5
2017-07-12,7.1
2017-07-13,17.3
2017-07-14,17.3
2017-07-15,2.5
2017-07-16,12.7
2017-07-17,9.9
2017-07-18,61.0
2017-07-19,6.9
2017-07-20,17.8
2017-07-21,2.5
2017-07-22,101.6
2017-07-23,20.3
2017-07-24,30.2
2017-07-25,7.6
2017-07-26,7.6
2017-07-27,0.3
2017-07-28,10.2
2017-07-29,7.6
2017-07-30,7.6
2017-07-31,0.0
2017-08-01,3.0
2017-08-02,6.4
2017-08-03,1.5
2017-08-04,1.0
2017-08-05,1.5
2017-08-06,0.0
2017-08-07,1.3
2017-08-08,8.6
2017-08-09,3.8
2017-08-10,1.8
2017-08-11,0.0
2017-08-12,3.6
2017-08-13,0.0
2017-08-14,5.6
2017-08-15,10.7
2017-08-16,10.7
2017-08-17,3.3
2017-08-18,1.5
2017-08-19,2.3
2017-08-20,0.3
2017-08-21,14.2
2017-08-22,12.7
2017-08-23,11.4
